order_id,date,region,status,total,channel
A84721,2024-08-15T09:14:55Z,NA,FAILED,182.45,web
A84722,2024-08-15T09:15:42Z,NA,RETRY,182.45,web
A84723,2024-08-15T09:16:18Z,EMEA,SUCCESS,75.00,mobile
A84724,2024-08-15T09:17:05Z,APAC,SUCCESS,49.99,api
A84725,2024-08-15T09:17:48Z,NA,SUCCESS,182.45,web
A84726,2024-08-15T09:18:10Z,APAC,FAILED,210.00,mobile
A84727,2024-08-15T09:18:51Z,EMEA,SUCCESS,120.10,web
A84728,2024-08-15T09:19:32Z,NA,SUCCESS,330.00,api
A84729,2024-08-15T09:19:59Z,EMEA,SUCCESS,25.00,mobile
A84730,2024-08-15T09:20:41Z,APAC,SUCCESS,99.99,web
