device_id	sensor	temp_c	humidity	battery	timestamp
EDGE-001	temp	21.4	33	98	2024-08-15T09:15:00Z
EDGE-002	humidity	-	78	76	2024-08-15T09:15:05Z
EDGE-003	temp	19.8	44	65	2024-08-15T09:15:08Z
EDGE-001	humidity	21.4	35	97	2024-08-15T09:15:11Z
EDGE-004	temp	NaN	--	58	2024-08-15T09:15:19Z
EDGE-002	temp	23.0	73	74	2024-08-15T09:15:23Z
EDGE-005	humidity	24.1	29	89	2024-08-15T09:15:28Z
EDGE-003	humidity	19.8	45	65	2024-08-15T09:15:33Z
EDGE-004	humidity	18.1	41	58	2024-08-15T09:15:40Z
EDGE-001	temp	21.8	34	96	2024-08-15T09:15:45Z
